gene_id	CRR812470_output	CRR812471_output
HORVU.MOREX.r2.1HG0002610.1	0	0.0178195
HORVU.MOREX.r2.1HG0002620.1	0.569362	1.33196
HORVU.MOREX.r2.1HG0002630.1	0	0
HORVU.MOREX.r2.1HG0002640.1	0.0787237	0.282595
HORVU.MOREX.r2.1HG0002650.1	0	0
HORVU.MOREX.r2.1HG0002660.1	0	0
HORVU.MOREX.r2.1HG0002670.1	0.451265	0
HORVU.MOREX.r2.1HG0002680.1	0	0
HORVU.MOREX.r2.1HG0002690.1	0	0
HORVU.MOREX.r2.1HG0002700.1	0.0473719	0.0352602
HORVU.MOREX.r2.1HG0002710.1	0	0
HORVU.MOREX.r2.1HG0002720.1	0	1.63715
HORVU.MOREX.r2.1HG0002730.1	0	0
HORVU.MOREX.r2.1HG0002740.1	0	0
HORVU.MOREX.r2.1HG0002750.1	2.30874	5.10259
HORVU.MOREX.r2.1HG0002760.1	0	0
HORVU.MOREX.r2.1HG0002770.1	0	0
HORVU.MOREX.r2.1HG0002780.1	0	0
HORVU.MOREX.r2.1HG0002790.1	0.133539	0
HORVU.MOREX.r2.1HG0002800.1	0	0
HORVU.MOREX.r2.1HG0002810.1	0	0
HORVU.MOREX.r2.1HG0002820.1	0	0
HORVU.MOREX.r2.1HG0002830.1	0	0
HORVU.MOREX.r2.1HG0002840.1	2.00126	3.95617
HORVU.MOREX.r2.1HG0002850.1	0.234129	0.473189
HORVU.MOREX.r2.1HG0002860.1	13.6605	21.7362
HORVU.MOREX.r2.1HG0002870.1	0.169416	0.225198
HORVU.MOREX.r2.1HG0002880.1	0	0
HORVU.MOREX.r2.1HG0002890.1	0	0
HORVU.MOREX.r2.1HG0002900.1	0	0
HORVU.MOREX.r2.1HG0002910.1	0	0
HORVU.MOREX.r2.1HG0002920.1	0	0
HORVU.MOREX.r2.1HG0002930.1	0	0
HORVU.MOREX.r2.1HG0002940.1	0	0
HORVU.MOREX.r2.1HG0002950.1	1.61635	1.02316
HORVU.MOREX.r2.1HG0002960.1	0	0.351657
HORVU.MOREX.r2.1HG0002970.1	0	0
HORVU.MOREX.r2.1HG0002980.1	0	0
HORVU.MOREX.r2.1HG0002990.1	0	0
HORVU.MOREX.r2.1HG0003000.1	0	0
HORVU.MOREX.r2.1HG0003010.1	228.679	314.851
HORVU.MOREX.r2.1HG0003020.1	1.09432	0
HORVU.MOREX.r2.1HG0003030.1	57.8315	43.3265
HORVU.MOREX.r2.1HG0003040.1	14.8366	25.475
HORVU.MOREX.r2.1HG0003050.1	1.23885	2.58724
HORVU.MOREX.r2.1HG0003060.1	0	0
HORVU.MOREX.r2.1HG0003070.1	26.6427	47.5756
HORVU.MOREX.r2.1HG0003080.1	4.18643	3.43288
HORVU.MOREX.r2.1HG0003090.1	0	0
HORVU.MOREX.r2.1HG0003100.1	0	0
HORVU.MOREX.r2.1HG0003110.1	0	0
HORVU.MOREX.r2.1HG0003120.1	0	0
HORVU.MOREX.r2.1HG0003130.1	0.651211	0
HORVU.MOREX.r2.1HG0003140.1	0	0
HORVU.MOREX.r2.1HG0003150.1	0	0
HORVU.MOREX.r2.1HG0003160.1	0	0
HORVU.MOREX.r2.1HG0003170.1	0	2.17214
HORVU.MOREX.r2.1HG0003180.1	0.174014	0.138797
HORVU.MOREX.r2.1HG0003190.1	0	0
HORVU.MOREX.r2.1HG0003200.1	0	0
HORVU.MOREX.r2.1HG0003210.1	0.636226	1.66363
