gene_id	yzy02_1	yzy01_3
A.satnudSFS1A01G000306.1	22.217	22.988
A.satnudSFS1A01G000307.1	0	5
A.satnudSFS1A01G000308.1	0	0
A.satnudSFS1A01G000309.1	0	0
A.satnudSFS1A01G000310.1	2	8
A.satnudSFS1A01G000311.1	5	7
A.satnudSFS1A01G000312.1	0	0
A.satnudSFS1A01G000313.1	0	0
A.satnudSFS1A01G000314.1	0	0
A.satnudSFS1A01G000315.1	0	0
A.satnudSFS1A01G000316.1	6	3
A.satnudSFS1A01G000317.1	0	0
A.satnudSFS1A01G000318.1	0	0
A.satnudSFS1A01G000319.1	1341.23	1257.33
A.satnudSFS1A01G000320.1	0	3.036
A.satnudSFS1A01G000321.1	0	0
A.satnudSFS1A01G000322.1	111	229.485
A.satnudSFS1A01G000323.1	79.802	40.43
A.satnudSFS1A01G000324.1	668.283	488.637
A.satnudSFS1A01G000325.1	1	0
A.satnudSFS1A01G000326.1	0	0
A.satnudSFS1A01G000327.1	0	0
A.satnudSFS1A01G000328.1	63.003	46
A.satnudSFS1A01G000329.1	0	0
A.satnudSFS1A01G000330.1	0	0
A.satnudSFS1A01G000331.1	2	2
A.satnudSFS1A01G000332.1	341.306	393.23
A.satnudSFS1A01G000333.1	4	11
A.satnudSFS1A01G000334.1	1	5
A.satnudSFS1A01G000335.1	124	60.501
A.satnudSFS1A01G000336.1	0	0
A.satnudSFS1A01G000337.1	31	6
A.satnudSFS1A01G000338.1	4	14.731
A.satnudSFS1A01G000339.1	4	0
A.satnudSFS1A01G000340.1	0	0
A.satnudSFS1A01G000341.1	0	0
A.satnudSFS1A01G000342.1	0	0
A.satnudSFS1A01G000343.1	163.989	114
A.satnudSFS1A01G000344.1	0	0
A.satnudSFS1A01G000345.1	0	0
A.satnudSFS1A01G000346.1	7.328	19
A.satnudSFS1A01G000347.1	134.675	149.292
A.satnudSFS1A01G000348.1	8	7
A.satnudSFS1A01G000349.1	26	29
A.satnudSFS1A01G000350.1	0	0
A.satnudSFS1A01G000351.1	0	0
A.satnudSFS1A01G000352.1	0	0
A.satnudSFS1A01G000353.1	0	0
A.satnudSFS1A01G000354.1	3	2
A.satnudSFS1A01G000355.1	6	2
A.satnudSFS1A01G000356.1	12	9
A.satnudSFS1A01G000357.1	9	0
A.satnudSFS1A01G000358.1	52	91
A.satnudSFS1A01G000359.1	8	11.003
A.satnudSFS1A01G000360.1	0	0
A.satnudSFS1A01G000361.1	16	10
A.satnudSFS1A01G000362.1	0	0
A.satnudSFS1A01G000363.1	0	3.92
A.satnudSFS1A01G000364.1	13	11
A.satnudSFS1A01G000365.1	18.413	6
A.satnudSFS1A01G000366.1	0	0
A.satnudSFS1A01G000367.1	0	0
A.satnudSFS1A01G000368.1	673.19	445.524
A.satnudSFS1A01G000369.1	0	1
A.satnudSFS1A01G000370.1	0	0
A.satnudSFS1A01G000371.1	592.614	613.329
A.satnudSFS1A01G000372.1	349.376	341.061
A.satnudSFS1A01G000373.1	0	0
A.satnudSFS1A01G000374.1	11	3
A.satnudSFS1A01G000375.1	0	0
A.satnudSFS1A01G000376.1	132.132	113.574
A.satnudSFS1A01G000377.1	306.543	150.295
A.satnudSFS1A01G000378.1	0	0
A.satnudSFS1A01G000379.1	0	4
A.satnudSFS1A01G000380.1	7.782	13
A.satnudSFS1A01G000381.1	0	0
A.satnudSFS1A01G000382.1	0	1
A.satnudSFS1A01G000383.1	1	0
A.satnudSFS1A01G000384.1	4	1
A.satnudSFS1A01G000385.1	159.499	172.099
A.satnudSFS1A01G000386.1	0	1
A.satnudSFS1A01G000387.1	14.001	7.001
A.satnudSFS1A01G000388.1	1854.739	1378.463
A.satnudSFS1A01G000389.1	23.997	23
A.satnudSFS1A01G000390.1	1.999	0
A.satnudSFS1A01G000391.1	0	0
A.satnudSFS1A01G000392.1	10	5
A.satnudSFS1A01G000393.1	7	4
A.satnudSFS1A01G000394.1	4	2
A.satnudSFS1A01G000395.1	0	0
A.satnudSFS1A01G000396.1	0	0
A.satnudSFS1A01G000397.1	146.608	118.265
A.satnudSFS1A01G000398.1	0	0
A.satnudSFS1A01G000399.1	0	0
A.satnudSFS1A01G000400.1	0	0
A.satnudSFS1A01G000401.1	0	0
A.satnudSFS1A01G000402.1	0	0
A.satnudSFS1A01G000403.1	0	0
A.satnudSFS1A01G000404.1	0	0
A.satnudSFS1A01G000405.1	0	0
A.satnudSFS1A01G000406.1	4	2
A.satnudSFS1A01G000407.1	0	0
A.satnudSFS1A01G000408.1	0	0
A.satnudSFS1A01G000409.1	0	1
A.satnudSFS1A01G000410.1	1	0
A.satnudSFS1A01G000411.1	4	4
A.satnudSFS1A01G000412.1	0	0
A.satnudSFS1A01G000413.1	0	0
A.satnudSFS1A01G000414.1	122.509	92.992
A.satnudSFS1A01G000415.1	22.594	66.621
A.satnudSFS1A01G000416.1	61.47	43.012
A.satnudSFS1A01G000417.1	59.191	54.631
A.satnudSFS1A01G000418.1	32	27
A.satnudSFS1A01G000419.1	0	0
A.satnudSFS1A01G000420.1	0	0
A.satnudSFS1A01G000421.1	0	0
A.satnudSFS1A01G000422.1	0	0
A.satnudSFS1A01G000423.1	0	0
A.satnudSFS1A01G000424.1	0	0
